datetime,no2,nh3,co,t,rh,p,deviceid,no2ppb
2025-08-13 00:00:00,1848.78545,923.46182,1310.72000,25.90294,100.00000,958.22575,10.00000,8.08685
2025-08-13 00:00:03,1852.50909,927.18545,1316.30545,25.90294,100.00000,958.30823,10.00000,8.08435
2025-08-13 00:00:06,1850.64727,923.46182,1312.58182,25.87719,100.00000,958.26884,10.00000,8.08999
2025-08-13 00:00:09,1848.78545,927.18545,1316.30545,25.87204,100.00000,958.23347,10.00000,8.07377
2025-08-13 00:00:12,1850.64727,921.60000,1312.58182,25.83085,100.00000,958.28042,10.00000,8.09325
2025-08-13 00:00:15,1852.50909,923.46182,1314.44364,25.83085,100.00000,958.25293,10.00000,8.09249
2025-08-13 00:00:18,1848.78545,923.46182,1314.44364,25.78965,100.00000,958.21740,10.00000,8.08110
2025-08-13 00:00:21,1852.50909,927.18545,1318.16727,25.76391,100.00000,958.26048,10.00000,8.07758
2025-08-13 00:00:24,1852.50909,925.32364,1314.44364,25.70211,100.00000,958.27588,10.00000,8.08001
2025-08-13 00:00:27,1854.37091,923.46182,1314.44364,25.66092,100.00000,958.29530,10.00000,8.08826
2025-08-13 00:00:30,1852.50909,925.32364,1314.44364,25.66092,100.00000,958.21285,10.00000,8.07835
2025-08-13 00:00:33,1852.50909,925.32364,1316.30545,25.71756,100.00000,958.32700,10.00000,8.08044
2025-08-13 00:00:36,1852.50909,923.46182,1318.16727,25.78450,100.00000,958.23701,10.00000,8.09023
2025-08-13 00:00:39,1852.50909,923.46182,1312.58182,25.85659,100.00000,958.26483,10.00000,8.09372
2025-08-13 00:00:42,1852.50909,925.32364,1318.16727,25.88234,100.00000,958.30421,10.00000,8.08905
2025-08-13 00:00:45,1854.37091,927.18545,1318.16727,25.90809,100.00000,958.23363,10.00000,8.08992
2025-08-13 00:00:48,1852.50909,919.73818,1314.44364,25.95958,100.00000,958.22991,10.00000,8.11070
2025-08-13 00:00:51,1852.50909,921.60000,1316.30545,25.96473,100.00000,958.29277,10.00000,8.10479
2025-08-13 00:00:54,1852.50909,923.46182,1314.44364,25.90294,100.00000,958.30823,10.00000,8.09579
2025-08-13 00:00:57,1850.64727,923.46182,1316.30545,25.88749,100.00000,958.22961,10.00000,8.09080
2025-08-13 00:01:00,1852.50909,921.60000,1314.44364,25.86689,100.00000,958.30807,10.00000,8.09966
2025-08-13 00:01:03,1850.64727,923.46182,1316.30545,26.00593,100.00000,958.24580,10.00000,8.09675
2025-08-13 00:01:06,1852.50909,917.87636,1316.30545,26.10892,100.00000,958.32081,10.00000,8.12341
2025-08-13 00:01:09,1850.64727,919.73818,1314.44364,26.04197,100.00000,958.24593,10.00000,8.11004
2025-08-13 00:01:12,1852.50909,921.60000,1312.58182,26.04712,100.00000,958.30881,10.00000,8.10890
2025-08-13 00:01:15,1846.92364,919.73818,1316.30545,26.15526,100.00000,958.33669,10.00000,8.10565
2025-08-13 00:01:18,1848.78545,917.87636,1312.58182,26.17071,100.00000,958.30530,10.00000,8.11715
2025-08-13 00:01:21,1852.50909,919.73818,1318.16727,26.21190,100.00000,958.31329,10.00000,8.12303
2025-08-13 00:01:24,1848.78545,919.73818,1314.44364,26.27370,100.00000,958.29776,10.00000,8.11677
2025-08-13 00:01:27,1848.78545,916.01455,1314.44364,26.28914,100.00000,958.23885,10.00000,8.12942
2025-08-13 00:01:30,1848.78545,916.01455,1314.44364,26.31489,100.00000,958.27822,10.00000,8.13046
2025-08-13 00:01:33,1848.78545,916.01455,1314.44364,26.45393,100.00000,958.27068,10.00000,8.13763
2025-08-13 00:01:36,1848.78545,912.29091,1312.58182,26.54147,100.00000,958.34948,10.00000,8.15299
2025-08-13 00:01:39,1848.78545,914.15273,1314.44364,26.63416,100.00000,958.27098,10.00000,8.15259
2025-08-13 00:01:42,1846.92364,914.15273,1314.44364,26.66505,100.00000,958.34574,10.00000,8.14886
2025-08-13 00:01:45,1846.92364,910.42909,1314.44364,26.75259,100.00000,958.28685,10.00000,8.16521
2025-08-13 00:01:48,1845.06182,910.42909,1312.58182,26.82469,100.00000,958.25937,10.00000,8.16434
2025-08-13 00:01:51,1845.06182,908.56727,1312.58182,26.88648,100.00000,958.35381,10.00000,8.17253
2025-08-13 00:01:54,1845.06182,908.56727,1312.58182,26.94827,100.00000,958.31055,10.00000,8.17602
2025-08-13 00:01:57,1845.06182,908.56727,1310.72000,26.92253,100.00000,958.29874,10.00000,8.17478
2025-08-13 00:02:00,1845.06182,914.15273,1314.44364,26.76289,100.00000,958.24753,10.00000,8.14982
2025-08-13 00:02:03,1845.06182,912.29091,1310.72000,26.70625,100.00000,958.29860,10.00000,8.15226
2025-08-13 00:02:06,1843.20000,914.15273,1310.72000,26.65475,100.00000,958.30247,10.00000,8.13911
2025-08-13 00:02:09,1841.33818,910.42909,1312.58182,26.72685,100.00000,958.21997,10.00000,8.15006
2025-08-13 00:02:12,1843.20000,912.29091,1314.44364,26.69595,100.00000,958.28286,10.00000,8.14708
2025-08-13 00:02:15,1841.33818,914.15273,1312.58182,26.61356,100.00000,958.32207,10.00000,8.13209
2025-08-13 00:02:18,1845.06182,916.01455,1314.44364,26.54147,100.00000,958.26691,10.00000,8.13261
2025-08-13 00:02:21,1846.92364,919.73818,1314.44364,26.45393,100.00000,958.21564,10.00000,8.12183
2025-08-13 00:02:24,1845.06182,916.01455,1310.72000,26.45908,100.00000,958.25103,10.00000,8.12850
2025-08-13 00:02:27,1846.92364,917.87636,1312.58182,26.38183,100.00000,958.29804,10.00000,8.12326
2025-08-13 00:02:30,1846.92364,917.87636,1310.72000,26.35094,100.00000,958.30582,10.00000,8.12162
2025-08-13 00:02:33,1846.92364,919.73818,1310.72000,26.29944,100.00000,958.28211,10.00000,8.11343
2025-08-13 00:02:36,1846.92364,917.87636,1310.72000,26.25310,100.00000,958.29377,10.00000,8.11669
2025-08-13 00:02:39,1848.78545,921.60000,1314.44364,26.22735,100.00000,958.28190,10.00000,8.10879
2025-08-13 00:02:42,1846.92364,916.01455,1308.85818,26.19646,100.00000,958.26216,10.00000,8.11973
2025-08-13 00:02:45,1846.92364,917.87636,1312.58182,26.15011,100.00000,958.27380,10.00000,8.11156
2025-08-13 00:02:48,1848.78545,917.87636,1310.72000,26.07802,100.00000,958.21856,10.00000,8.11303
2025-08-13 00:02:51,1848.78545,921.60000,1310.72000,25.99563,100.00000,958.20255,10.00000,8.09748
2025-08-13 00:02:54,1846.92364,923.46182,1312.58182,25.91324,100.00000,958.24150,10.00000,8.08249
2025-08-13 00:02:57,1848.78545,925.32364,1316.30545,25.84630,100.00000,958.30405,10.00000,8.07766
2025-08-13 00:03:04,1848.78545,927.18545,1318.16727,25.68666,100.00000,958.30721,10.00000,8.06374
2025-08-13 00:03:12,1848.78545,923.46182,1312.58182,25.56308,100.00000,958.25552,10.00000,8.06921
2025-08-13 00:03:15,1850.64727,925.32364,1312.58182,25.52703,100.00000,958.25532,10.00000,8.06642
2025-08-13 00:03:18,1852.50909,923.46182,1312.58182,25.48069,100.00000,958.23935,10.00000,8.07465
2025-08-13 00:03:21,1850.64727,923.46182,1310.72000,25.48069,100.00000,958.34925,10.00000,8.06908
2025-08-13 00:03:24,1852.50909,923.46182,1314.44364,25.45494,100.00000,958.30985,10.00000,8.07282
2025-08-13 00:03:27,1852.50909,923.46182,1310.72000,25.42920,100.00000,958.32539,10.00000,8.07139
2025-08-13 00:03:30,1852.50909,925.32364,1314.44364,25.42920,100.00000,958.27044,10.00000,8.06607
2025-08-13 00:03:33,1852.50909,927.18545,1316.30545,25.44979,100.00000,958.30197,10.00000,8.06117
2025-08-13 00:03:36,1850.64727,925.32364,1316.30545,25.44464,100.00000,958.29408,10.00000,8.06191
2025-08-13 00:03:39,1850.64727,925.32364,1316.30545,25.41375,100.00000,958.27427,10.00000,8.06048
2025-08-13 00:03:42,1852.50909,923.46182,1312.58182,25.36225,100.00000,958.27788,10.00000,8.06830
2025-08-13 00:03:45,1852.50909,923.46182,1314.44364,25.33136,100.00000,958.31299,10.00000,8.06646
2025-08-13 00:03:48,1852.50909,927.18545,1316.30545,25.34681,100.00000,958.33664,10.00000,8.05564
