datetime,no2,nh3,co,t,rh,p,deviceid,no2ppb
2025-08-21 00:00:05,1854.37091,938.35636,1351.68000,20.83241,72.50600,950.14247,10.00000,7.69552
2025-08-21 00:00:11,1854.37091,938.35636,1353.54182,20.78723,72.96408,950.09767,10.00000,7.70247
2025-08-21 00:00:17,1856.23273,938.35636,1351.68000,20.73704,72.92006,950.10013,10.00000,7.71356
2025-08-21 00:00:23,1854.37091,940.21818,1355.40364,20.66677,73.13400,950.15332,10.00000,7.70316
2025-08-21 00:00:26,1858.09455,938.35636,1351.68000,20.63164,73.11412,950.06931,10.00000,7.72928
2025-08-21 00:00:29,1856.23273,940.21818,1351.68000,20.61658,73.29169,950.12810,10.00000,7.71660
2025-08-21 00:00:32,1858.09455,938.35636,1353.54182,20.60152,73.30787,950.07630,10.00000,7.73270
2025-08-21 00:00:35,1858.09455,940.21818,1353.54182,20.58144,73.44470,950.12703,10.00000,7.72959
2025-08-21 00:00:38,1859.95636,943.94182,1357.26545,20.57141,73.48429,950.16622,10.00000,7.72915
2025-08-21 00:00:41,1859.95636,943.94182,1357.26545,20.54631,73.68410,950.12596,10.00000,7.73227
2025-08-21 00:00:47,1859.95636,940.21818,1355.40364,20.52623,73.66532,950.09375,10.00000,7.74395
2025-08-21 00:00:53,1861.81818,940.21818,1357.26545,20.48106,73.85206,950.07657,10.00000,7.75762
2025-08-21 00:00:59,1859.95636,943.94182,1360.98909,20.43589,74.14242,950.14230,10.00000,7.74169
2025-08-21 00:01:02,1861.81818,938.35636,1355.40364,20.42585,74.25109,950.12619,10.00000,7.77030
2025-08-21 00:01:05,1859.95636,938.35636,1357.26545,20.40577,74.29564,950.17689,10.00000,7.76181
2025-08-21 00:01:08,1859.95636,938.35636,1357.26545,20.43087,74.45881,950.10660,10.00000,7.76267
2025-08-21 00:01:11,1859.95636,938.35636,1357.26545,20.50114,74.52178,950.10878,10.00000,7.76110
2025-08-21 00:01:14,1859.95636,938.35636,1357.26545,20.54631,74.29482,950.12596,10.00000,7.75686
2025-08-21 00:01:20,1856.23273,936.49455,1355.40364,20.54129,74.27715,950.14555,10.00000,7.74272
2025-08-21 00:01:23,1859.95636,936.49455,1353.54182,20.68183,74.23597,950.12218,10.00000,7.75728
2025-08-21 00:01:26,1859.95636,936.49455,1357.26545,20.85750,73.82265,950.07209,10.00000,7.74607
2025-08-21 00:01:29,1858.09455,934.63273,1355.40364,21.01812,73.41359,950.05304,10.00000,7.73133
2025-08-21 00:01:32,1858.09455,932.77091,1355.40364,21.18375,72.92373,950.04194,10.00000,7.72829
2025-08-21 00:01:38,1861.81818,936.49455,1357.26545,21.09341,72.38624,950.09077,10.00000,7.73050
2025-08-21 00:01:44,1858.09455,936.49455,1355.40364,20.90268,72.98404,950.08922,10.00000,7.72437
2025-08-21 00:01:50,1858.09455,936.49455,1353.54182,20.75712,73.38854,950.07703,10.00000,7.73418
2025-08-21 00:01:56,1856.23273,940.21818,1357.26545,20.76214,73.85010,950.08508,10.00000,7.71840
2025-08-21 00:02:02,1856.23273,934.63273,1353.54182,20.76716,73.93694,950.03782,10.00000,7.73617
2025-08-21 00:02:08,1856.23273,936.49455,1355.40364,20.78723,73.75974,950.12533,10.00000,7.72802
2025-08-21 00:02:14,1858.09455,938.35636,1357.26545,20.70191,73.70725,950.07143,10.00000,7.73423
2025-08-21 00:02:20,1856.23273,934.63273,1355.40364,20.67179,73.82604,950.07842,10.00000,7.73819
2025-08-21 00:02:26,1858.09455,938.35636,1355.40364,20.58144,74.10736,950.09939,10.00000,7.74332
2025-08-21 00:02:32,1856.23273,940.21818,1359.12727,20.65673,74.38389,950.13722,10.00000,7.72875
2025-08-21 00:02:38,1854.37091,934.63273,1353.54182,20.82237,74.25239,950.01574,10.00000,7.72817
2025-08-21 00:02:44,1854.37091,932.77091,1355.40364,21.04823,73.47350,950.10134,10.00000,7.71709
2025-08-21 00:02:50,1854.37091,934.63273,1355.40364,21.01812,73.03861,950.02538,10.00000,7.70671
2025-08-21 00:02:56,1856.23273,936.49455,1355.40364,20.89264,72.82181,950.07312,10.00000,7.71270
2025-08-21 00:02:59,1856.23273,936.49455,1357.26545,20.83241,73.06542,950.03184,10.00000,7.71754
2025-08-21 00:03:02,1854.37091,936.49455,1355.40364,20.76214,73.22748,950.08508,10.00000,7.71219
2025-08-21 00:03:05,1854.37091,938.35636,1357.26545,20.73704,73.61764,950.04482,10.00000,7.71196
2025-08-21 00:03:08,1854.37091,938.35636,1359.12727,20.77218,73.49919,950.01821,10.00000,7.70921
2025-08-21 00:03:11,1856.23273,938.35636,1357.26545,20.86754,73.37363,950.00521,10.00000,7.71434
2025-08-21 00:03:14,1856.23273,936.49455,1355.40364,20.91773,73.21585,950.11337,10.00000,7.71689
2025-08-21 00:03:20,1856.23273,936.49455,1355.40364,20.99804,73.07753,950.04851,10.00000,7.71221
2025-08-21 00:03:26,1854.37091,934.63273,1355.40364,21.13858,72.67805,950.02485,10.00000,7.70835
2025-08-21 00:03:32,1856.23273,938.35636,1357.26545,21.08337,72.32781,950.04700,10.00000,7.69858
2025-08-21 00:03:35,1856.23273,936.49455,1355.40364,21.06831,72.27480,950.05053,10.00000,7.70292
2025-08-21 00:03:38,1852.50909,938.35636,1355.40364,21.00808,72.38591,950.03695,10.00000,7.68450
2025-08-21 00:03:41,1856.23273,938.35636,1357.26545,20.92777,72.43209,950.04648,10.00000,7.70092
2025-08-21 00:03:44,1856.23273,936.49455,1353.54182,20.91773,72.69673,950.03038,10.00000,7.71013
2025-08-21 00:03:47,1856.23273,936.49455,1355.40364,21.00808,72.65710,950.03695,10.00000,7.70665
2025-08-21 00:03:50,1858.09455,938.35636,1357.26545,21.06831,72.67298,950.02286,10.00000,7.70901
2025-08-21 00:03:53,1858.09455,936.49455,1357.26545,21.12352,72.53268,950.05605,10.00000,7.71249
2025-08-21 00:03:56,1856.23273,934.63273,1353.54182,21.22893,72.39015,950.00366,10.00000,7.71619
2025-08-21 00:03:59,1856.23273,934.63273,1355.40364,21.28916,72.23856,950.01720,10.00000,7.71787
2025-08-21 00:04:02,1856.23273,932.77091,1355.40364,21.39958,71.84209,949.97277,10.00000,7.72577
2025-08-21 00:04:08,1856.23273,936.49455,1357.26545,21.37951,71.60386,949.96827,10.00000,7.71275
2025-08-21 00:04:14,1854.37091,929.04727,1355.40364,21.59032,71.32377,949.97392,10.00000,7.73607
2025-08-21 00:04:20,1854.37091,929.04727,1353.54182,21.65055,71.00420,950.07045,10.00000,7.73645
2025-08-21 00:04:26,1852.50909,932.77091,1357.26545,21.62043,70.50498,949.93911,10.00000,7.71622
2025-08-21 00:04:32,1852.50909,932.77091,1357.26545,21.59032,70.60702,950.05699,10.00000,7.71513
2025-08-21 00:04:38,1850.64727,934.63273,1357.26545,21.48491,70.73864,950.02649,10.00000,7.70048
2025-08-21 00:04:44,1852.50909,929.04727,1353.54182,21.69572,70.77600,950.00437,10.00000,7.73166
2025-08-21 00:04:50,1850.64727,930.90909,1355.40364,21.88144,70.25634,949.99727,10.00000,7.72574
2025-08-21 00:04:56,1848.78545,934.63273,1353.54182,21.64051,70.21723,949.97128,10.00000,7.69872
2025-08-21 00:05:02,1848.78545,929.04727,1349.81818,21.53510,70.60331,949.99619,10.00000,7.71240
2025-08-21 00:05:08,1852.50909,934.63273,1353.54182,21.40460,70.64076,949.95313,10.00000,7.70216
2025-08-21 00:05:15,1850.64727,940.21818,1357.26545,21.30422,70.91127,950.04133,10.00000,7.67752
2025-08-21 00:05:21,1854.37091,936.49455,1355.40364,21.12854,71.21111,950.00876,10.00000,7.69357
2025-08-21 00:05:24,1854.37091,938.35636,1355.40364,21.05827,71.59880,949.95143,10.00000,7.68772
2025-08-21 00:05:27,1854.37091,940.21818,1359.12727,21.09843,71.79210,949.98814,10.00000,7.68522
2025-08-21 00:05:30,1854.37091,936.49455,1355.40364,21.04823,71.99058,950.01834,10.00000,7.69481
2025-08-21 00:05:33,1854.37091,940.21818,1359.12727,21.07835,72.03888,949.98362,10.00000,7.68587
2025-08-21 00:05:36,1854.37091,936.49455,1355.40364,21.13858,72.00850,949.99718,10.00000,7.69897
2025-08-21 00:05:42,1854.37091,934.63273,1353.54182,21.11348,71.98364,950.01228,10.00000,7.70301
2025-08-21 00:05:48,1854.37091,934.63273,1351.68000,21.02816,72.21423,949.95848,10.00000,7.70084
2025-08-21 00:05:54,1854.37091,934.63273,1353.54182,21.03820,72.33613,950.05757,10.00000,7.70172
2025-08-21 00:05:57,1854.37091,934.63273,1355.40364,21.01310,72.54783,949.98966,10.00000,7.70214
2025-08-21 00:06:00,1856.23273,936.49455,1355.40364,20.99804,72.37365,950.07618,10.00000,7.70367
2025-08-21 00:06:03,1856.23273,938.35636,1355.40364,20.96291,72.39422,949.99217,10.00000,7.69903
2025-08-21 00:06:06,1856.23273,938.35636,1355.40364,20.92777,72.48401,950.01882,10.00000,7.70143
2025-08-21 00:06:09,1856.23273,940.21818,1357.26545,20.90769,72.49987,950.01429,10.00000,7.69658
2025-08-21 00:06:12,1858.09455,940.21818,1357.26545,20.96793,72.59651,950.02789,10.00000,7.70576
2025-08-21 00:06:15,1856.23273,938.35636,1357.26545,20.98298,72.51105,949.99670,10.00000,7.69981
2025-08-21 00:06:18,1858.09455,938.35636,1357.26545,20.95287,72.57812,949.97608,10.00000,7.71150
2025-08-21 00:06:21,1856.23273,942.08000,1357.26545,20.89766,72.63759,949.99819,10.00000,7.69286
2025-08-21 00:06:24,1856.23273,938.35636,1355.40364,20.85750,72.81349,949.98911,10.00000,7.70771
2025-08-21 00:06:30,1856.23273,938.35636,1359.12727,21.00306,73.20481,950.02890,10.00000,7.70783
2025-08-21 00:06:36,1856.23273,930.90909,1355.40364,21.26908,72.58354,949.92966,10.00000,7.73007
2025-08-21 00:06:42,1852.50909,927.18545,1353.54182,21.46483,72.05463,949.93893,10.00000,7.73493
2025-08-21 00:06:48,1852.50909,930.90909,1359.12727,21.62043,71.48768,949.93911,10.00000,7.72760
2025-08-21 00:06:54,1848.78545,925.32364,1355.40364,21.76599,70.90797,949.92310,10.00000,7.73537
2025-08-21 00:07:00,1846.92364,927.18545,1355.40364,21.85132,70.44524,949.94902,10.00000,7.72527
2025-08-21 00:07:06,1846.92364,927.18545,1357.26545,21.89649,70.21684,949.91058,10.00000,7.72598
2025-08-21 00:07:12,1845.06182,923.46182,1351.68000,21.91155,70.02691,949.87930,10.00000,7.73068
2025-08-21 00:07:18,1845.06182,923.46182,1353.54182,21.98182,69.91000,949.90876,10.00000,7.73295
2025-08-21 00:07:24,1841.33818,923.46182,1351.68000,22.02700,69.88980,949.95342,10.00000,7.72352
2025-08-21 00:07:30,1841.33818,921.60000,1351.68000,22.14244,69.85104,949.94436,10.00000,7.73374
2025-08-21 00:07:36,1839.47636,919.73818,1347.95636,22.24283,69.41167,949.96658,10.00000,7.73514
2025-08-21 00:07:42,1837.61455,921.60000,1353.54182,22.27294,69.14138,949.84849,10.00000,7.72427
2025-08-21 00:07:45,1835.75273,916.01455,1347.95636,22.29804,68.99816,949.99957,10.00000,7.73445
2025-08-21 00:07:48,1833.89091,921.60000,1355.40364,22.32314,68.99975,949.87343,10.00000,7.71438
2025-08-21 00:07:51,1833.89091,919.73818,1351.68000,22.38337,68.84132,949.91445,10.00000,7.72126
2025-08-21 00:07:54,1835.75273,916.01455,1347.95636,22.40345,68.72669,949.94660,10.00000,7.73759
2025-08-21 00:08:00,1833.89091,925.32364,1349.81818,22.13742,68.37991,949.96404,10.00000,7.69140
2025-08-21 00:08:06,1835.75273,923.46182,1346.09455,21.93665,69.30518,949.91951,10.00000,7.69933
2025-08-21 00:08:12,1835.75273,925.32364,1351.68000,22.03202,69.52548,949.93375,10.00000,7.69950
2025-08-21 00:08:15,1835.75273,921.60000,1349.81818,22.03703,69.45634,949.88637,10.00000,7.71013
2025-08-21 00:08:18,1833.89091,923.46182,1347.95636,22.04205,69.40456,949.86670,10.00000,7.69917
2025-08-21 00:08:21,1835.75273,921.60000,1347.95636,22.07217,69.34282,949.85952,10.00000,7.71107
2025-08-21 00:08:24,1837.61455,925.32364,1349.81818,22.04205,69.54928,949.89441,10.00000,7.70579
